emoticon_code,description
(੭´･ᵕ･ )੭,mỉm cười
(੭´･ᵕ･)੭,mỉm cười
(੭ºั╰╯ºั)੭,ôm
(੭ºั▿ºั)੭,mỉm cười
(੭ºั○ºั)੭,ngạc nhiên
(੭ºัヘºั)੭,ôm
(੭ȍ╭╮ȍ)੭̸*✩⁺˚,buồn
(੭˃̣̣̥ㅂ˂̣̣̥)੭♡(•ε•❀),hoa
(੭˃̣̣̥ㅂ˂̣̣̥)੭♡(ＴωＴ*),trái tim
(੭ˆヮˆ)੭ʕ●ᴥ● ˵ʔ,con gấu
(੭ˊ͈ -ˋ͈)੭̸*✧⁺˚,đỏ mặt
(੭ˊ͈ ꒵ˋ͈)੭̸*✧⁺,đỏ mặt
(੭ˊ͈ ꒵ˋ͈)੭̸*✧⁺˚,đỏ mặt
(੭ˊᵕˋ)੭,mỉm cười
(੭ˊᵕˋ)੭(⏓ᵕ⏓✿),hoa
(੭ˊᵕˋ)੭(⏓▽⏓),ôm
(੭ˊᵕˋ)੭(⏓▽⏓✿),hoa
(੭ˊᵕˋ)੭*,hoa
(੭ˊᵕˋ)੭.*･｡ﾟ,lấp lánh
(੭ˊᵕˋ)੭ɪɴᴛᴇʀɴᴇᴛ,máy tính
(੭ˊᵕˋ)੭ʕᵔ//Ꮂ//ᵔʔ,koala
(੭ˊᵕˋ)੭ʕᵔ//Ꮂ//ᵔ✿ʔ,koala
(੭ˊᵕˋ)੭ʕᵔ/Ꮂ//ᵔʔ,koala
(੭ˊᵕˋ)੭ʕᵔᎲ//ᵔʔ,koala
(੭ˊᵕˋ)੭ʕᵔᎲᵔʔ,koala
(੭ˊᵕˋ)੭ʕᵔᎲᵔ˵ʔ,koala
(੭ˊᵕˋ)੭ʕᵔᎲᵔ•ʔ,koala
(੭ˊᵕˋ)੭ʕᵔᎲᵔ●ʔ,koala
(੭ˊᵕˋ)੭☆ﾟ.*･｡ﾟ,lấp lánh
(੭ˊᵕˋ)੭♡,trái tim
(੭ˊᵕˋ)੭♥ ヽ(ˆ⌣ˆヾ),trái tim
(੭ˊᵕˋ)੭🌸,hoa
(੭ˊ◕ᵕ◕ˋ)੭(0ᵕ0✿),hoa
(੭ˊ◕ᵕ◕ˋ)੭(0ᵕ0❀),hoa
(੭ˊ◕ᵕ◕ˋ)੭(⏓ᵕ⏓✿),hoa
(੭ˊ◕ᵕ◕ˋ)੭†,mỉm cười
(੭˘ヮ˘)੭(°ヮ°๑),ôm
(੭˘ヮ˘)੭(˘ヮ˘◍),ôm
(੭σヮσ)੭,mỉm cười
(੭σヮσ)੭(oꈍUꈍ)💗,đỏ mặt
(੭σヮσ)੭(ꈍUꈍ)💗,đỏ mặt
(੭σヮσ)੭̸*✩⁺˚,mỉm cười
(੭σヮσ)੭💗,trái tim
(੭σヮσ)੭💗⁺˚,trái tim
(੭ु ´͈꒳​`͈)੭ु⁾⁾,đỏ mặt
(੭ु ›ω‹ )੭ु⁾⁾♡,trái tim
(੭ु´͈ ᐜ `͈)੭ु⁾⁾,đỏ mặt
(੭ु˶˭̵̴⃙⃚⃘᷄ᗢ˭̴̵⃙⃚⃘᷅˶)੭ु⁾⁾~,đỏ mặt
(੭ु｡╹▿╹｡)੭ु⁾⁾,mỉm cười
(੭ಠ!ಠ)੭̸*✩⁺˚,sự tức giận
(੭ಠĹ̯ಠ)੭̸*✩⁺˚,sự tức giận
(੭ತᗜತ)੭,mỉm cười
(੭ತᗜತ)੭*,mỉm cười
(੭ತᗜತ)੭̸*,mỉm cười
(੭ತᗜತ)੭̸*✩⁺˚,mỉm cười
(੭ತ‿ತ)੭,mỉm cười
(੭ತ‿ತ)੭̸*✩⁺˚,mỉm cười
(੭ළヮළ)੭,mỉm cười
(੭ළヮළ)੭̸*✩⁺˚,mỉm cười
(੭๏U๏)੭\(⪦▾⪧)/,mỉm cười
(੭๏‸๏)੭\(⪦▾⪧)/,mỉm cười
(੭๏‸๏)੭ʢ👁️o👁️ʡ,con gấu
(੭๏▾๏)੭\(⪦▾⪧)/,ôm
(੭๑╹.╹)੭(◠▿◠ ✿),hoa
(੭๑╹.╹)੭ฅ^•ﻌ•^ฅ,con mèo
(੭๑╹▿╹)੭(◠▿◠ ✿),hoa
(੭່˙ ์•͈ ▿ •͈ ์ )੭່˙┬──┬,đỏ mặt
(੭ཀoཀ)੭,khóc
(੭ᗒᗜᗕ)੭,hào hứng
(੭ᗒᗜᗕ)੭(*´∀｀),hào hứng
(੭ᗒᗜᗕ)੭(○´◡｀),hào hứng
(੭ᗒᗜᗕ)੭̸*✩⁺,hào hứng
(੭ᗒᗜᗕ)੭ヽ(*´ᗜ｀)ﾉﾟ,hào hứng
(੭ᗒᗜᗕ)੭ヽ(*´∀｀)ﾉﾟ,hào hứng
(੭ᗒ⍘ᗕ)੭̸*✩⁺˚,sự tức giận
(੭ᗒ◡ᗕ)੭( ◉ ᴗ ◉🌸),hoa
(੭ᗒ◡ᗕ)੭(• ᴗ •🌸),hoa
(੭ᗒ◡ᗕ)੭(• ᴗ•🌸),hoa
(੭ᗒ◡ᗕ)੭(○´o◡o｀)💗,trái tim
(੭ᗒ◡ᗕ)੭(○´◡｀),ôm
(੭ᗒ◡ᗕ)੭(○´◡｀)💗,trái tim
(੭ᗒ◡ᗕ)੭🌸💗,hoa
(੭ᗒ◡ᗕ)੭💗,trái tim
(੭ᗒヮᗕ)੭̸*✩⁺˚(°Ꮂ°o),koala
(੭⁰ᴗ⁰)━☆ﾟ.*,đũa
(੭⁰ᴗ⁰)━☆ﾟ.*･,đũa
(੭⁰‸⁰)━☆ﾟ.*,đũa
(੭⁰‿⁰)━☆ﾟ.*,đũa
(੭⁰⌓⁰)━☆ﾟ.*,đũa
(੭≋ഌ≋),con lợn
(੭≋ഌ≋)੭̸*✩⁺˚,con lợn
(੭≖Ꮂ≖)੭̸*✩⁺˚,koala
(੭⌐■益■)੭,trận đánh
(੭⌐■益■)੭̸*✩⁺˚,sự tức giận
(੭⌣U⌣”)੭♡,trái tim
(੭⌣ヮ⌣”)੭,mỉm cười
(੭⌣ヮ⌣”)੭̸*✩⁺˚,đũa
(੭⍜Ꮂ⍜)੭,koala
(੭⍜Ꮂ⍜)੭̸*✩⁺˚,koala
(੭⏓╭╮⏓)੭̸*✩⁺˚,buồn
(੭─˘ヮ˘)੭(°ヮ°๑),ôm
(੭─ヮ─)(ˇεˇ ๑),mỉm cười
(੭─ヮ─)(ˇεˇ๑),mỉm cười
(੭─ヮ─)(๑ˇεˇ๑),đỏ mặt
(੭─ヮ─)੭,mỉm cười
(੭─ヮ─)੭(°ヮ°๑),ôm
(੭─ヮ─)੭(ŏ﹏ŏ),mỉm cười
(੭─ヮ─)੭(ŏ﹏ŏ｡),mỉm cười
(੭─ヮ─)੭(๑ˇεˇ๑),đỏ mặt
(੭─ヮ─)੭(ᵔ㉨ᵔ✿),con gấu
(੭─ヮ─)੭(•́ ∀ •̀๑),ôm
(੭─ヮ─)੭(•́ ∀ •̀○),ôm
(੭─ヮ─)੭(≖ ︿ ≖ ),mỉm cười
(੭─ヮ─)੭(≖ ︿ ≖ 🌸),hoa
(੭─ヮ─)੭(｡ŏ﹏ŏ),mỉm cười
(੭─ヮ─)੭ʕ ·͡ᴥ·ʔ,con gấu
(੭─ヮ─)੭ʕ°ヮ°๑ʔ,con gấu
(੭─ヮ─)੭ʕ·͡ᴥ· ʔ,con gấu
(੭─ヮ─)੭ʕ•ᴥ•˵ʔ,con gấu
(੭─ヮ─)੭ʕ≧ᴥ≦❁ʔ,con gấu
(੭─ヮ─)੭ʕ─ᴥ─❁ʔ,con gấu
(੭─ヮ─)੭ʕ╹ᴥ╹ʔ,con gấu
(੭─ヮ─)੭ʕ●·͡ᴥ·ʔ,con gấu
(੭─ヮ─)੭ʕ●ᴥ● ˵ʔ,con gấu
(੭─ヮ─)੭ʕ●ᴥ●oʔ,con gấu
(੭─ヮ─)੭ʕ●ᴥ●˵ʔ,con gấu
(੭─ヮ─)੭ʕ●ᴥ●˵✿ʔ,con gấu
(੭─ヮ─)੭ʕ●ᴥ●❁ʔ,con gấu
(੭─ヮ─)੭̸*✩⁺˚,mỉm cười
(੭─ヮ─)੭✿,hoa
(੭─ヮ─)੭❁,hoa
(੭╹.╹)੭ฅ^•ﻌ•^ฅ,con mèo
(੭╹▿╹)੭,mỉm cười
(੭■Ꮂ■)੭̸*✩⁺˚,koala
(੭▰◡▰)੭̸*✩⁺˚,kính
(੭◉ᗜ◉)੭̸*✩⁺˚,mỉm cười
(੭◍ヮ◎)੭̸*✩⁺˚,mỉm cười
(੭●ヮ●)੭ʕᵔᴥᵔ๑ʔ,con gấu
(੭●ヮ●)੭ʕᵔᴥᵔ◍ʔ,con gấu
(੭●ヮ●)੭ʕ●ᴥ● ˵ʔ,con gấu
(੭●ヮ●)੭ʕ●ᴥ● ๑ʔ,con gấu
(੭●ヮ●)੭ʕ●ᴥ●๑ʔ,con gấu
(੭◥▶ ͜つ◀◤)੭̸*✩⁺˚,kính
(੭☼▾☼)੭̸*✩⁺˚,thiên thần
(੭☼▾☼)੭̸*✩⁺˚?,thiên thần
(੭☼ヮ☼)੭̸*✩⁺˚,thiên thần
(੭♡ˊᵕˋ)੭🌸,hoa
(੭✧ᗜ✧)੭̸*✩⁺˚,hào hứng
(੭✧≖Ꮂ≖)੭̸*✩⁺˚,koala
(੭⩺⏏⩹)੭̸*✩⁺˚,sự tức giận
(੭⪦ヮ⪧)੭̸*✩⁺˚,mỉm cười
(੭⪨3⪩)੭ᕦ(ᵔUᵔᕦ),zombie
(੭⪨o⪩)੭ᕕ(o_o)ᕗ,đang chạy
(੭⪨o⪩)੭ᕕ(◕_◕)ᕗ,đang chạy
(੭⪨ಎ⪩)੭( ´ل` ),ôm
(੭⪨ಎ⪩)੭ᕦ( ´ل` )ᕥ,uốn cong
(੭⪨ಎ⪩)੭ᕦ(ᵔUᵔᕦ),ôm
(੭⪨ಎ⪩)੭ᕦ(ᵔωᵔᕦ),ôm
(੭⪰Ꮂ⪯)੭(◕ヮ◕✿),koala
(੭⪰Ꮂ⪯)੭✨,koala
(੭⪰Ꮂ⪯)੭✩,koala
(੭⪰Ꮂ⪯)੭✩⁺˚,koala
(੭⪰Ꮂ⪯)੭✿,koala
(੭⪰Ꮂ⪯)੭❁,koala
(੭⫑-⫒)੭ᕕ(^⏠^)ᕗ,zombie
(੭⫑.⫒)੭ᕕ(^⏠^)ᕗ,zombie
(੭⫑_⫒)੭ᕕ(^⏠^)ᕗ,zombie
(੭⫑ಎ⫒)੭̸*✩⁺˚(ꔸഌꔸ),con lợn
(੭⫑ಎ⫒)੭ᕕ(^⏠^)ᕗ,đang chạy
(੭・ ◡ ・)੭❁,hoa
(੭・ ◡・)੭❁,hoa
(੭・U・)੭❁,hoa
(੭・_・)੭̸*✩⁺˚,ngạc nhiên
(੭・∀・)੭❁,hoa
(੭・∀・)੭❁(╹◡╹`*)ɞ,hoa
(੭ㅇUㅇ)੭/ᐠㅇᆽㅇᐟ🌸\,con mèo
(੭ㅇUㅇ)੭ฅ^⇀ﻌ↼^ฅ,con mèo
(੭ㅇ‿ㅇ)੭ฅ^⇀ﻌ↼^ฅ,con mèo
(੭ㆁωㆁ)੭(≗ ᆽ ≗),con mèo
(੭ㆁωㆁ)੭/ᐠ≗ᆽ≗✿ᐟ \,con mèo
(੭ㆁᗜㆁ)੭ฅ(≗ ᆽ ≗),con mèo
(੭ㆁᗜㆁ)੭ฅ^•ﻌ•^ฅ,con mèo
(੭ㆁ‿ㆁ)੭/ᐠ≗ᆽ≗✿ᐟ \,con mèo
(੭ㆁ‿ㆁ)੭ฅ(=╹㉨╹ฅ=)∫,con mèo
(੭ㆁ‿ㆁ)੭ฅ^⇀ﻌ↼^ฅ,con mèo
(੭ꖘᗜꖘ)੭̸*✩⁺˚,mỉm cười
(੭｡╹▿╹)੭(◠▿◠ ✿),hoa
(੭｡╹▿╹｡)੭,mỉm cười
(੭｡╹▿╹｡)੭(◠ω◠ ✿),hoa
(੭｡╹▿╹｡)੭♡ヽ(oUoヾ),trái tim
(੭￣益￣)੭̸*✩⁺˚,sự tức giận
(੭👁️ᴥ👁️)*✩⁺˚,chó
(੭👁️◡👁️)੭,mỉm cười
(੭👁️◡👁️)੭̸*✩⁺,mỉm cười
(੭👁️◡👁️)੭̸*✩⁺˚,mỉm cười
(ઊ.ઊ;),mồ hôi
(ી(΄◞ิ౪◟ิ‵)ʃ) (ી(΄◞ิ౪◟ิ‵)ʃ),dơi_vampires
(ી(΄◞ิ౪◟ิ‵)ʃ)♥,trái tim
(ી(●╥╥●)ʃ),dơi_vampires
(ે෴ۜ ),ria
(ે෴ۜ),ria
(ૢ•᷄ ۿ•᷅╬),đỏ mặt
(ૢ•᷄ۿ•᷅╬),khó chịu
(ૢ•᷄⊱•᷅ ╬),đỏ mặt
(૦ȍᎲȍ)ﾉ*:･ﾟ✧,koala
(૦Д૦)╭∩╮,ngón giữa
(૦ઁ ³૦ઁ)╭∩╮,ngón giữa
(૦ઁД૦)╭∩╮,ngón giữa
(૦ઁД૦ઁ)╭∩╮,ngón giữa
(૦ઁ∀૦)━☆ﾟ.*･｡ﾟ,đũa
(૦ઁ∀૦ઁ)━☆ﾟ.*･｡ﾟ,đũa
(૦ઁ╭╮૦ઁ),buồn
(૦∀૦)━☆ﾟ.*･｡ﾟ,đũa
(૭ ఠ ༬ ఠ)૭,trận đánh
(૭ ఠ༬ఠ)૭,trận đánh
(૭ ◉༬◉)૭⁾⁾⁾⁾,trận đánh
(୨୧•͈ᴗ•͈)◞ᵗʱᵃᵑᵏઽ*♡,đỏ mặt
(இ ˆ இ✿),hoa
(இ ‸ இ✿),hoa
(இ ﹏இ`｡),buồn
(இ__இ✿),hoa
(இдஇ; ),mồ hôi
(இ௦ இ),ngạc nhiên
(இ௦ இ)꒳ᵒ꒳ᵎᵎᵎ,ngạc nhiên
(இ௦இ),ngạc nhiên
(இ௦இ)꒳ᵒ꒳ᵎᵎᵎ,khóc
(ஐ ০౪০)ﾉ,salute_wave
(ஐ০౪০)ﾉ,bươm bướm
(ஐ╹◡╹)ノ,salute_wave
(ு८ு_ .:),kính
(்͂ॢ⁰்͂ॢ)३३३∾♪,âm nhạc
(ఠ్ఠ ˓̭ ఠ్ఠ ),buồn
(ఠ్ఠ ‸ ఠ్ఠ),buồn
(ఠ్ఠ ‸ ఠ్ఠ๑✿),hoa
(ఠ్ఠnఠ్ఠ),khóc
(ఠ్ఠ˓̭ ఠ్ఠ๑✿),hoa
(ఠ్ఠДఠ్ఠ),buồn
(ఠ్ఠдఠ్ఠ๑✿),hoa
(ఠ్ఠдఠ్ఠ✿),hoa
(ఠ్ఠಊఠ్ఠ`),khóc
(ఠ్ఠ╰╯ఠ్ఠ๑✿),hoa
(ఠ్ఠ◡ ఠ్ఠ๑✿),hoa
(ఠ్ఠ◡ఠ్ఠ),mỉm cười
(ఠ్ఠ◡ఠ్ఠ๑✿),hoa
(ఠ్ఠ◡ఠ్ఠ✿),hoa
(ఠ్ఠ︵ఠ్ఠ๑),buồn
(ఠ్ఠ︹ఠ్ఠ＊),khóc
(ఠ౬ఠ),hôn
(ల - ల),khó chịu
(ಗ_ಗ;),khó chịu
(ಠ .̫.̫ ಠ),ria
(ಠ o ಠ)¤=[]:::::>,gươm
(ಠ o ಠ)¤=[]:::::>  Q(`⌒´Q),gươm
(ಠ ͜  ಠ)━☆ﾟ.*･｡ﾟ,đũa
(ಠ ͜ ಠ)━☆ﾟ.*･｡ﾟ,đũa
(ಠ ͜.ಠ)━☆ﾟ.*･｡ﾟ,đũa
(ಠ ͜ಠ)━☆ﾟ.*･｡ﾟ,đũa
(ಠ ͜つಠ)━☆ﾟ.*･｡ﾟ,đũa
(ಠ ε ಠ),hôn
(ಠ ⌣ ಠ),mỉm cười
(ಠ 益 ಠ ),sự tức giận
(ಠ!ಠ)━☆ﾟ.*･｡ﾟ,sự tức giận
(ಠ_ಠ)>⌐■-■,khó chịu
(ಠ_ಠ)━☆ﾟ.*･｡ﾟ,khó chịu
(ಠ_ಠ)┌∩┐,ngón giữa
(ಠ_ರೃ,monocle
(ಠ_ರೃ ),monocle
(ಠ_ರೃ),monocle
(ಠ_◞ಠ),khó chịu
(ಠoಠ,sự tức giận
(ಠ¿ಠ),sự tức giận
(ಠഌಠ),con lợn
(ಠഌಠ)━☆ﾟ.*･｡ﾟ,con lợn
(ಠ‾ಠ﻿),sự tức giận
(ಠ⌣ಠ),mỉm cười
(ಠ⏠ಠ),sự tức giận
(ಠ▃ಠ),sự tức giận
(ಠ◞౪◟ಠ),khó chịu
(ಠ◞⊱​◟ಠ),khó chịu
(ಠヮಠ)/ (＾＾； ),mồ hôi
(ಠ益ರೃ),monocle
(ಠ﹃ಠ),sự tức giận
(ಡ_ಡ)☞,chỉ
(ಡ艸ಡ),sự tức giận
(ತ ೧ ತ),khó chịu
(ತ.ತ)╭∩╮,ngón giữa
(ತ:ತ)╭∩╮,ngón giữa
(ತ_ತ)╭∩╮,ngón giữa
(ತωತ)╭∩╮,ngón giữa
(ತᗝತ)╭∩╮,ngón giữa
(ತ‿ತ)﴾σ.σo),mỉm cười
(ತ‿ತ)﴾σ0σ﴿,mỉm cười
(ತ‿ತ)﴾σUσo),mỉm cười
(ತ‿ತ)﴾σUσ﴿,mỉm cười
(ತ‿‿ತ),mỉm cười
(ತ⍘ತ)╭∩╮,ngón giữa
(ಥ ͜ʖಥ),lenny
(ಥ ͜つಥ),khóc
(ಥ_ʖಥ),khóc
(ಥ_ಥ)━☆ﾟ.*･｡ﾟ,đũa
(ಥ_◞ಥ),buồn
(ಥoಥ) ------ (✿* 3 *) ノ♡(*0  *),hoa
(ಥʖ̯ಥ)৴♡,trái tim
(ಥ⌣ಥ),mỉm cười
(ಥ◞౪◟ಥ),buồn
(ಥ◞⊱​◟ಥ),buồn
(ಥ◡ಥ),mỉm cười
(ಥ﹃ಥ),buồn
(ಥ﹏ಥ )ʕ ⁰̈Ⓣ⁰̈ ʔ,con gấu
(ಥ﹏ಥ),buồn
(ಥ🗢ಥ),buồn
(ರರ⌓ರರ)╮,sự tức giận
(ಸ ‿ ಸ),mỉm cười
(ಸ ︿ ಸ ✿),hoa
(ಸ_ಸ),khó chịu
(ಸ_ಸ)━☆ﾟ.*･｡ﾟ,khó chịu
(ಸ_◞ಸ),khó chịu
(ಸ‿ಸ),khó chịu
(ಸ﹃ಸ),khó chịu
(ಽ ͡ಥ ͜ʖ ಥ)ಽ,lenny
(ಽ ͡ಸ ͜ʖ ಸ)ಽ,lenny
(ಽ ͡☉ ͜ʖ ͡☉)ಽ,lenny
(೨♛‿♛೨),trận đánh
(മ ̥̆ മ),ngạc nhiên
(മ◡മ),mỉm cười
(മヮ<),mỉm cười
(ര̀ᴗര́)و ̑̑,mỉm cười
(ඟ⍘ඟ),buồn
(චᆽච)❤️(╹㉨╹ﾐ)ﾉ,con mèo
(ට˓˳̮ට๑),đỏ mặt
(ටᆽට=),con mèo
(ට㉨ට),con mèo
(ළ◡ළ)━☆ﾟ.*･｡ﾟᑫ ͡°Ꮂ ͡°ᑷ,koala
(ෆ`꒳´ෆ) ˡºᵛᵉ⃛,sự tức giận
(ෆˊ͈ ु꒳ ूˋ͈ ෆ) ˡºᵛᵉ⃛,đỏ mặt
(ෆˊ͈ ु꒳ ूˋ͈ෆ),đỏ mặt
(ෆ˙ᵕ˙ෆ)♡,trái tim
(ෆ‿ෆ),mỉm cười
(ෆ❛ั ु³❛ัʕ•̫͡•ིʔྀ*✲ﾟ*｡⋆⃛,con gấu
(ෆ❛ั ु³❛ัʕ•̫͡•ིʔྀ*✲ﾟ*｡⋆⃛ೄ,con gấu
(ෆ❛ัᵌ❛ัෆ)°,hôn
(ෆ❛ั▿❛ʃƪ)♩°:::,âm nhạc
(ෆ❛ั◊ ❛ัʃƪ),ngạc nhiên
(ฅ=≗ᆽ≗=)(˘ ε ˘ʃƪ●),con mèo
(ฅ=≗ᆽ≗=)ฅ,con mèo
(ฅ=≗ᆽ≗=)ฅ(ﾐㆁ㉨ㆁﾐ)♥,con mèo
(ฅ=≗ᆽ≗=)ฅ★*✲.⋆,con mèo
(ฅ=≗ᆽ≗=)ฅ★*✲.⋆ฅ(≈o ﻌ o≈)∫,con mèo
(ฅ=≗ᆽ≗=)ฅ♥,con mèo
(ฅ=≗ᆽ≗=)ฅ✿,con mèo
(ฅ=≗ᆽ≗=)ฅ✿/ᐠ≗ᆽ≗oᐟ \∫,con mèo
(ฅ=≗ᆽ≗=)ฅ❤️,con mèo
(ฅ=≗ᆽ≗=)ฅ❤️ฅ(=❛ᆽ❛=),con mèo
(ฅ^♡ﻌ♡^ฅ),con mèo
(ฅ`ω´ฅ),sự tức giận
(ฅ`ω´ฅ)~,con mèo
(ฅ`ｗ´ฅ)~,con mèo
(ฅˊ̱˂˃ˋ̱ฅ)♪,âm nhạc
(ฅ́дฅ̀),buồn
(ฅ͒ ɪ ฅ͒),khóc
(ฅΦωΦ)ฅ,quỷ dữ
(ฅ’ω’ฅ)​♥,trái tim
(ฅ•ω•ฅ^),con mèo
(ง  `ω´)۶,sự tức giận
(ง  ° ͜ ʖ °)ง,trận đánh
(ง  ͌﹏  ͌)ง,trận đánh
(ง -_-)ง   Q–(’̀-’̀Q ),trận đánh
(ง -_-)ง Q–(’̀-’̀Q ),trận đánh
(ง -_-)ง ԅ(´ ❥ `ԅ),trái tim
(ง O_o)ง ผ(o.Oผ),trận đánh
(ง `ω´)۶,sự tức giận
(ง x 人 x) ง︵,trận đánh
(ง ° ͜  ʖ °)ง,trận đánh
(ง ° ͜ ʖ °)ง,trận đánh
(ง °Θ°)ว,khiêu vũ
(ง ´͈౪`͈)ว,đỏ mặt
(ง º ⍘ º )ง,trận đánh
(ง º ⍘ º )งᕕ(σ⍊σ)ᕗ,đang chạy
(ง ͠ ° ل͜ °)ง,trận đánh
(ง ͠ ͠°  ل͜ °)ง,trận đánh
(ง ͠ ͠° ل͜ °)ง,trận đánh
(ง ͠ ᵒ̌ Дᵒ̌ )¤=[]:::::>,gươm
(ง ͠ ᵒ̌ Дᵒ̌ )▬▬ι═══════ﺤ,gươm
(ง ͠ ᵒ̌ Дᵒ̌)¤=[]:::::>,gươm
(ง ͠° / ^ \ °)-/̵͇̿̿/’̿’̿ ̿,súng
(ง ͠° ͟ ʖ  ͡°)ง,trận đánh
(ง ͠° ͟ ʖ #)ง,trận đánh
(ง ͠° ͟ ل͜ ͡ °)ง,trận đánh
(ง ͠° ͟ʖ,trận đánh
(ง ͠° ͟ʖ #)ง,trận đánh
(ง ͠° ͟ʖ ͡°)ง,trận đánh
(ง ͠° ͟ʖ ͡°)ง-,trận đánh
(ง ͠° ͟ل͜ ͡°)¤=[]:::::>,gươm
(ง ͠° ͟ل͜ ͡°)ง,trận đánh
(ง ͠° ͟⏰ ͡°)ง,trận đánh
(ง ͠°ل͜ ͡°)ง,trận đánh
(ง ͠ಠ_ಠ)ง,trận đánh
(ง ͠ಠل͜ ಠ)ง,trận đánh
(ง ͠ಥ_ಥ)ง,trận đánh
(ง ͡° ͜ʖ ͡°)=/̵͇̿̿/'̿'̿̿̿̿ ̿̿,súng
(ง ͡° ͜ʖ ͡°)ง,trận đánh
(ง ͡°- ͡°)งヽ(⪩o⪨)ﾉ,trận đánh
(ง ͡°. ͡°)งヽ(⪩o⪨)ﾉ,trận đánh
"(ง ͡°_ ͡°)งヽ(⪩,⪨)ﾉ",trận đánh
(ง ͡°_ ͡°)งヽ(⪩o⪨)ﾉ,trận đánh
(ง ͡ʘ ͜ʖ ͡ʘ)ง,trận đánh
(ง ͡⎚. ͡⎚)ง,kính
(ง ͡⎚U ͡⎚)ง,kính
(ง ͡⎚⍘ ͡⎚)ง,kính
(ง ͡⎚ツ ͡⎚)ง,kính
(ง ͡⎚人 ͡⎚)ง,kính
(ง ಸ‿ ಸ)ง,trận đánh
(ง ื▿ ื)ว,đỏ mặt
(ง • ̀_ • ́) ง,trận đánh
(ง • ̀_ • ́) ง((⊂(`ω´∩),trận đánh
(ง •̀  ω•́)ง✧,trận đánh
(ง •̀ _ •́)ง,trận đánh
(ง •̀ ゝ •́)ง,trận đánh
(ง •̀_•́)ง,trận đánh
(ง •̀_•́)ง ԅ(´ ❥ `ԅ),trái tim
(ง •̀_•́)ง ผ(o.Oผ),trận đánh
(ง •̀_•́)ง ผ(•̀_•́ผ),trận đánh
(ง •̀_•́)ง ผ(•̀_•́ผ)ლ(╹◡╹ლ )ლ(╹◡╹ლ ),trận đánh
(ง •̀o•́)ง ԅ(´ ❥ `ԅ),trái tim
(ง •̀ω•́)ง✧,trận đánh
(ง •̀ゝ•́)ง,trận đánh
(ง •̀ゝ•́)ง((⊂(`ω´∩),trận đánh
(ง ⌐□ل͜□   ︻デ═一     •♥••♥•  ( •ω•  ),súng
(ง ⌐□ل͜□),kính
(ง ⌐□ل͜□)   🕦    •♥••♥•  (🌸ºั◡ºั)( •ω•  ),hoa
(ง ⌐□ل͜□)  (◐◞౪◟◑’)┐ 🕦    •♥••♥•  ( •ω•  ),kính
(ง ⌐□ل͜□) 👧 🕦    •♥••♥•  ( •ω•  ),kính
(ง ⌐□ل͜□)ง,kính
(ง ﾟ ͜ʖ ﾟ)ง,trận đánh
(ง ﾟ ͟ل͜ ﾟ)ง,trận đánh
(ง ﾟД ﾟ)ง,trận đánh
"(ง"" ͠° ͟ʖ ͡°)ง",trận đánh
"(ง"" ͠° ͟ʖ ͡°)ง______╰(❛∀❛ )",trận đánh
"(ง"" ͠° ͟ʖ ͡°)ง_____╰(❛∀❛ )",trận đánh
"(ง"" ͠° ͟ʖ ͡°)ง____╰(❛∀❛ )",trận đánh
"(ง"" ͠° ͟ʖ ͡°)ง___╰(❛∀❛ )",trận đánh
(ง$-$)ง,trận đánh
(ง$U$)ง,tiền bạc
(ง$╭╮$)ง,tiền bạc
(ง'̀-'́)ง,trận đánh
(ง*Ĺ̯*)ง,trận đánh
"(ง, º ⍘ º )ง",trận đánh
(ง0Ꮂ0)ง,koala
(ง0‿0)ง,trận đánh
(ง0‿O)ง,trận đánh
(ง; ͠° ͟ʖ ͡°)ง,trận đánh
(ง> . >)ง,trận đánh
(ง> ͟ʖ<)ง,trận đánh
(ง> ε >)ง,trận đánh
(ง>!>)ง,trận đánh
(งOمo)ง ผ(o∠Oผ),trận đánh
(งToT)ง,trận đánh
(ง^!^)ง,trận đánh
(ง^.^)ง((⊂(`ω´∩),trận đánh
(ง^o^),khó chịu
(ง^◡^)ง,trận đánh
(ง^◡^)ง ผ(•̀_•́ผ),trận đánh
(ง^◡^)ง((⊂(`ω´∩),trận đánh
(ง^◡^)งʕᵔﻌᵔʔ,con gấu
(ง^◡^)งผ(o.Oผ),trận đánh
(ง`_´)ง,trận đánh
(ง`o⍘o´)ง,trận đánh
(ง`ഌ`)ง|`oഌo`|,con lợn
(ง`⍘´)ง,trận đánh
(ง`▾`)ง,trận đánh
(งo ﾟД ﾟ)ง,trận đánh
(งo0Ꮂ0)ง,koala
(งoಎo)ง,trận đánh
(งoಎo)ง ヽ(⩿!⪀)ﾉ,trận đánh
(งoᎲo)ง,koala
(งx.x)ง,zombie
(งx‿x)ง,trận đánh
(งx‿x)งʕʘ-ʘʔ,con gấu
(งx‿x)งʕʘ人ʘʔ,con gấu
(งx人x)ง,trận đánh
(ง¬.¬)ง,trận đánh
(ง¬.¬)งᕦ(˵ ͡~‿ ͡°˵)ᕥ,uốn cong
(ง¬.¬)งᕦ(˵ ͡~‿‿ ͡°˵)ᕥ,uốn cong
(ง°ل͜°)ง,trận đánh
(ง´.`)งヽ(o ʖ̯o)ﾉ,trận đánh
