emoticon_code,description,emoticon_type
(๑✧∀✧),hào hứng,kaomoji
(๑✧∀✧)(^ε ^○),hôn,kaomoji
(๑✧∀✧)(^∀ ^○),hào hứng,kaomoji
(๑✧∀✧)(✧∀✧○),hào hứng,kaomoji
(๑✧∀✧)♥,trái tim,kaomoji
(๑✧∀✧)🌻♡,hoa,kaomoji
(๑✧∀✧)🍦♡,trái tim,kaomoji
(๑✧∀✧)🍧,đồ ăn,kaomoji
(๑✧∀✧)🍨,đồ ăn,kaomoji
(๑✧∀✧)🍨♡,trái tim,kaomoji
(๑✧◡✧),mỉm cười,kaomoji
(๑✧◡✧๑),đỏ mặt,kaomoji
(๑✪ᆺ✪๑),con mèo,kaomoji
(๑✪ᆺ✪๑)∫,đỏ mặt,kaomoji
(๑✪▽✪)*✲⋆,mỉm cười,kaomoji
(๑✪ꇴ✪)(´ω`C✿),hoa,kaomoji
(๑✪ꇴ✪)(´ω`✿),hoa,kaomoji
(๑✪ꇴ✪)(´‿`✿),hoa,kaomoji
(๑✪ꇴ✪)q(´ω`C✿),hoa,kaomoji
(๑❛ 3(❛U❛๑),đỏ mặt,kaomoji
(๑❛ ᵕ ❛)♡,trái tim,kaomoji
(๑❛ ᵕ ❛)♡(❛◡❛`),trái tim,kaomoji
(๑❛ ᵕ❛)♡,trái tim,kaomoji
(๑❛////❛),đỏ mặt,kaomoji
(๑❛//Д//❛),đỏ mặt,kaomoji
(๑❛//▽//❛),đỏ mặt,kaomoji
(๑❛//▿❛),đỏ mặt,kaomoji
(๑❛//▿❛)/┃・.・┃,robot,kaomoji
(๑❛//◡//❛)(๑•́ ヮ •̀๑),đỏ mặt,kaomoji
(๑❛//◡//❛)(•́ ヮ •̀๑),đỏ mặt,kaomoji
(๑❛//◡//❛)(◕ᵕ◕○),đỏ mặt,kaomoji
(๑❛//◡//❛)◟(๑•́ ᵕ •̀๑),đỏ mặt,kaomoji
(๑❛//◡❛)(•́ ヮ •̀๑),đỏ mặt,kaomoji
(๑❛3❛)(˃͈ε˂͈๑),đỏ mặt,kaomoji
(๑❛3❛)(❛ε❛⋆),hôn,kaomoji
(๑❛3❛)•́ ∀ •̀๑),đỏ mặt,kaomoji
(๑❛3❛)•́∀•̀๑),đỏ mặt,kaomoji
(๑❛U❛)(˘ε˘๑),đỏ mặt,kaomoji
(๑❛U❛)•́U•̀๑),đỏ mặt,kaomoji
(๑❛U❛)•́ں•̀๑),đỏ mặt,kaomoji
(๑❛U❛)•́∀•̀๑),đỏ mặt,kaomoji
(๑❛o❛),ngạc nhiên,kaomoji
(๑❛u❛)•́ ∀ •̀๑),đỏ mặt,kaomoji
(๑❛ε❛๑)♡,đỏ mặt,kaomoji
(๑❛ω❛)(*’∀’人),mỉm cười,kaomoji
(๑❛ω❛)(*’▿’人),mỉm cười,kaomoji
(๑❛ω❛)(˘ε˘๑),đỏ mặt,kaomoji
(๑❛ω❛)/🍎,đồ ăn,kaomoji
(๑❛ω❛)/🍎(ᴖ.ᴖ✿),hoa,kaomoji
(๑❛ω❛)♡,trái tim,kaomoji
(๑❛ω❛)♡(*’∀’人),trái tim,kaomoji
(๑❛ω❛)♡(*’∀’人)♥,trái tim,kaomoji
(๑❛ω❛)♡(˘ᵋ ˘ ),trái tim,kaomoji
(๑❛ω❛๑) ♡,đỏ mặt,kaomoji
(๑❛ω❛๑) ♡(๑❛ω❛๑),đỏ mặt,kaomoji
(๑❛ω❛๑)♡,đỏ mặt,kaomoji
(๑❛ω❛๑)♡(˘ᵋ ˘ ),đỏ mặt,kaomoji
(๑❛ω❛๑)♡(๑❛ω❛๑),đỏ mặt,kaomoji
(๑❛ω❛๑)♥,đỏ mặt,kaomoji
(๑❛ں❛),mỉm cười,kaomoji
(๑❛ں❛)•́U•̀๑),đỏ mặt,kaomoji
(๑❛౪❛๑),đỏ mặt,kaomoji
(๑❛ั ॄ❛ั๑),đỏ mặt,kaomoji
(๑❛ᴈᴖ),nháy mắt,kaomoji
(๑❛ᴗ❛),mỉm cười,kaomoji
(๑❛ᴗ❛)★*✲ﾟ*,lấp lánh,kaomoji
(๑❛ᴗ❛)★*✲ﾟ*✧(◕ヮ◕✿),hoa,kaomoji
(๑❛ᴗ❛)✲*,mỉm cười,kaomoji
(๑❛ᴗ❛)❛ε❛๑)♡,đỏ mặt,kaomoji
(๑❛ᵕ❛),mỉm cười,kaomoji
(๑❛ᵕ❛)(˃͈ε˂͈๑),đỏ mặt,kaomoji
(๑❛ᵕ❛)(˘ε˘๑),đỏ mặt,kaomoji
(๑❛ᵕ❛)♡,trái tim,kaomoji
(๑❛ᵕ❛)♡(˘ε˘๑),đỏ mặt,kaomoji
(๑❛ᵕ❛)♡(≧U≦๑),đỏ mặt,kaomoji
(๑❛ᵕ❛๑),đỏ mặt,kaomoji
(๑❛∀❛),mỉm cười,kaomoji
(๑❛∀❛) ❀,hoa,kaomoji
(๑❛∀❛)★*✲ﾟ*,lấp lánh,kaomoji
(๑❛∀❛)♪★*✲ﾟ*,khiêu vũ,kaomoji
(๑❛∀❛)✲*,mỉm cười,kaomoji
(๑❛∀❛)✲*⋆ʕ´•ᴥ•`ʔ,con gấu,kaomoji
(๑❛∀❛)✲*⋆ʕ•ᴥ•`ʔ,con gấu,kaomoji
(๑❛∩❛) (✿◕U◕),hoa,kaomoji
(๑❛▽❛),mỉm cười,kaomoji
(๑❛▽❛)/♡,trái tim,kaomoji
(๑❛▿❛),mỉm cười,kaomoji
(๑❛▿❛)/┃・.・┃,mỉm cười,kaomoji
(๑❛◡❛),mỉm cười,kaomoji
(๑❛◡❛)(•́ ヮ •̀๑),đỏ mặt,kaomoji
(๑❛◡❛)╦╤─,súng,kaomoji
(๑❛◡❛)♡,trái tim,kaomoji
(๑❛◡❛)っ 💗,trái tim,kaomoji
(๑❛◡❛)っ*✲ﾟ*,lấp lánh,kaomoji
(๑❛◡❛)っ♡*✲ﾟ*,trái tim,kaomoji
(๑❛ヮ❛) ❀,hoa,kaomoji
(๑❛ꇳ❛๑),đỏ mặt,kaomoji
(๑❛ꇴ❛)ﾉ✿,hoa,kaomoji
(๑❤▽❤),trái tim,kaomoji
(๑❦◡❦),mỉm cười,kaomoji
(๑❦◡❦)╦╤─,súng,kaomoji
(๑⪰∇⪯）(≧∇≦ .),hào hứng,kaomoji
(๑。˘.˘)(ᴗ_ ᴗ。),buồn,kaomoji
(๑〃´∀｀),đỏ mặt,kaomoji
(๑〇ᗜ〇),mỉm cười,kaomoji
(๑っ❛ᴗ❛)っヽ(≧∇≦)ノ,hào hứng,kaomoji
(๑っ❛ᴗ❛)っヽ(≧▿≦)ノ,ôm,kaomoji
(๑゜ᴗ゜)ℒℴѵℯ,mỉm cười,kaomoji
(๑ゝ З (≧◡≦✿),hoa,kaomoji
(๑ゝuo),nháy mắt,kaomoji
(๑ゝωo),nháy mắt,kaomoji
(๑ゝωo๑),đỏ mặt,kaomoji
(๑ゝω˂)(ꈍꇴꈍ🌸),hoa,kaomoji
(๑ゝω‵๑),đỏ mặt,kaomoji
(๑ゝω╹๑),đỏ mặt,kaomoji
(๑ゝω・),nháy mắt,kaomoji
(๑ゝω・๑),đỏ mặt,kaomoji
(๑ゝڡ◕๑),đỏ mặt,kaomoji
(๑ゝ૩ ᵒ),hôn,kaomoji
(๑ゝᗜo)b,ngón tay cái_up,kaomoji
(๑ゝᗜ╹),mỉm cười,kaomoji
(๑ゝᗜ╹)ʕoᴥᴗʔ,con gấu,kaomoji
(๑ゝᴗම ๑) ৷ਕკ~ෆ,đỏ mặt,kaomoji
(๑ゝᴗම๑) ৷ਕკ~ෆ,hoa,kaomoji
(๑ゝᴗම๑)৷ਕკ~ෆ,đỏ mặt,kaomoji
(๑ゝᵕo),nháy mắt,kaomoji
(๑ゝᵕ•),mỉm cười,kaomoji
(๑ゝᵕ•́ ),nháy mắt,kaomoji
(๑ゝ∀●๑),đỏ mặt,kaomoji
(๑ゝ∀・),mỉm cười,kaomoji
(๑ゝ∀・)b,ngón tay cái_up,kaomoji
(๑ゝ∀・๑),đỏ mặt,kaomoji
(๑ゝ◡･)ﾉ✿,hoa,kaomoji
(๑ゝꇴ╹)ﾉ✿,hoa,kaomoji
(๑ゝꇴ❛)ﾉ✿,hoa,kaomoji
(๑ゝꇴ･)ﾉ✿,hoa,kaomoji
(๑・U・)(ˇ∀ˇ･✿),hoa,kaomoji
(๑・U・)(･ˇ∀ˇ･✿),hoa,kaomoji
(๑・U・)˘∀˘๑),đỏ mặt,kaomoji
(๑・U・)ﾉ♫♪♩,khiêu vũ,kaomoji
(๑・U・)ﾉ♫ヽ(･ˇ∀ˇ･✿),hoa,kaomoji
(๑・ω-)～♥,trái tim,kaomoji
(๑・ω-)～♥”,trái tim,kaomoji
(๑・౩・๑),đỏ mặt,kaomoji
(๑・∀・),mỉm cười,kaomoji
(๑・∀・)(ˇ∀ˇ  ✿),hoa,kaomoji
(๑・∀・)(ˇ∀ˇ･✿),hoa,kaomoji
(๑・∀・)˘◡˘๑),đỏ mặt,kaomoji
(๑・∀・)˘◡˘✿),hoa,kaomoji
(๑・∀・)ヽ(゜∇゜ヽ),ôm,kaomoji
(๑・∀・)ﾉ♫♪♩,âm nhạc,kaomoji
(๑・∇・)ﾉ♫♪♩,khiêu vũ,kaomoji
(๑・▾・)♫♪♩~( ˘▾˘~),khiêu vũ,kaomoji
(๑・▾・)ﾉ♫♪♩,âm nhạc,kaomoji
(๑・▾・)ﾉ♫♪♩~( ˘▾˘~),khiêu vũ,kaomoji
(๑・◡・)ﾉ♫♪♩,âm nhạc,kaomoji
(๑ㆁᗜㆁ),mỉm cười,kaomoji
(๑ㆁꇴㆁ๑),đỏ mặt,kaomoji
(๑癶ω癶๑),đỏ mặt,kaomoji
(๑ꄱͦॢ◡ु ˂̶͈́๑),đỏ mặt,kaomoji
(๑ꆨ৺ꉺ๑),đỏ mặt,kaomoji
(๑ꆨ∀ꉺ๑),đỏ mặt,kaomoji
(๑ꈍ  З(•́ ◡ •̀🌸),hoa,kaomoji
(๑ꈍ  З(ꈍ⌣ꈍ🌸),hoa,kaomoji
(๑ꈍ  З(ꈍ◡ꈍ🌸),hoa,kaomoji
(๑ꈍ З(˘◡˘🌸)♡,hoa,kaomoji
(๑ꈍ З(•́ ◡ •̀🌸)♡,hoa,kaomoji
(๑ꈍ З(ꈍUꈍ🌸),hoa,kaomoji
(๑ꈍ З(ꈍoꈍ🌸),hoa,kaomoji
(๑ꈍ З(ꈍᴗꈍ🌸),hoa,kaomoji
(๑ꈍωꈍ),đỏ mặt,kaomoji
(๑ꈍωꈍ)♡,đỏ mặt,kaomoji
(๑ꈍωꈍ)♥,đỏ mặt,kaomoji
(๑ꈍωꈍ)♥(ˆωˆ`๑),đỏ mặt,kaomoji
(๑ꈍωꈍ)♥(˘͈ ω ˘͈♡),đỏ mặt,kaomoji
(๑ꈍᗜꈍ),đỏ mặt,kaomoji
(๑ꈍ∀(๑•́ ◡ •̀๑✿),hoa,kaomoji
(๑ꈍ∀(•ꇴ•🌸),hoa,kaomoji
(๑ꈍ∀(ꈍᵕꈍ❀),hoa,kaomoji
(๑ꈍ∀(ꈍꇴꈍ🌸),hoa,kaomoji
(๑ꈍ∀ꈍ(๑•́ ◡ •̀๑✿),hoa,kaomoji
(๑ꈍ∀ꈍ(•́ ◡ •̀๑),đỏ mặt,kaomoji
(๑ꈍ∀ꈍ(•́ ◡ •̀๑✿),hoa,kaomoji
(๑ꈍ∀ꈍ(•́ ◡ •̀✿),hoa,kaomoji
(๑ꈍ∀ꈍ)( 人･ ㉨･),con gấu,kaomoji
(๑ꈍ∀ꈍ)(=•㉨•=)∫,con mèo,western
(๑ꈍ∀ꈍ)(=•㉨•=)∫♡(ᵔ/ᴥ/ᵔU),đỏ mặt,western
(๑ꈍ◡ꈍ(•́ ◡ •̀๑),đỏ mặt,kaomoji
(๑ꈍꇴ(ꈍ∀ꈍ❀),hoa,kaomoji
(๑ꈍꇴ(ꈍ∀ꈍ❀)♡,hoa,kaomoji
(๑ꈍﻌꈍ),chó,kaomoji
(๑꒡o꒡๑),đỏ mặt,kaomoji
(๑꒡ᆽ꒡๑),con mèo,kaomoji
(๑꒡ᗜ꒡๑),đỏ mặt,kaomoji
(๑꒡‿꒡๑),đỏ mặt,kaomoji
(๑꒡⌣꒡๑),đỏ mặt,kaomoji
(๑꒡◡꒡๑),đỏ mặt,kaomoji
(๑꒡ꇴ꒡๑),đỏ mặt,kaomoji
(๑꒦ິ _ ꒦ິ๑),đỏ mặt,kaomoji
(๑꒦ິ ̼ ꒦ິ๑),đỏ mặt,kaomoji
(๑꒦ິ ̼ ꒦ິ๑*),đỏ mặt,kaomoji
(๑꒦ິ ̼﹏꒦ິ๑),đỏ mặt,kaomoji
(๑꒪ ▿ ꒪),mỉm cười,kaomoji
(๑꒪ ▿ ꒪)*,mỉm cười,kaomoji
(๑꒪-꒪๑),đỏ mặt,kaomoji
(๑꒪͒∀꒪͒๑),đỏ mặt,kaomoji
(๑꒪⍘꒪๑),đỏ mặt,kaomoji
(๑꒪▿꒪),mỉm cười,kaomoji
(๑꒪▿꒪)(Ő▿Ő人)  (◕‸◕ ✿),hoa,kaomoji
(๑꒪▿꒪)(Ő▿Ő人)♡,trái tim,kaomoji
(๑꒪▿꒪)(Ő▿Ő人)♡  (◕‸◕ ✿),hoa,kaomoji
(๑꒪▿꒪)*,mỉm cười,kaomoji
(๑꒪▿꒪)*｡_｡),mỉm cười,kaomoji
(๑꧆◡꧆๑),đỏ mặt,kaomoji
(๑ﻌ๑),con mèo,kaomoji
(๑＾ᗜ＾),mỉm cười,kaomoji
(๑＾▽＾)ﾉ,mỉm cười,kaomoji
(๑＾◡＾)っＩLᵒᵛᵉᵧₒᵤ,mỉm cười,kaomoji
(๑＾ヮ<)ﾉ,mỉm cười,kaomoji
(๑＾ヮ＾)ﾉ,mỉm cười,kaomoji
(๑｡•‿•)♡,trái tim,kaomoji
(๑｡•‿•｡)(°ᗜ°๑),đỏ mặt,kaomoji
(๑｡•‿•｡)(๑°꒵°)(°꒵°๑),đỏ mặt,kaomoji
(๑｡•‿•｡)(●ᗜ●๑),đỏ mặt,kaomoji
(๑｡•‿•｡)♡,đỏ mặt,kaomoji
(๑｡•‿•｡)♡(๑°꒵°)(°꒵°๑),đỏ mặt,kaomoji
(๑｡•‿•｡)♡ʕᵔᴥᵔ♥ʔ,con gấu,kaomoji
(๑｡•‿•｡)💗(◠‿◠●),trái tim,kaomoji
(๑･`▱´･๑),đỏ mặt,kaomoji
(๑･̆ᴥ･̆)⊃♥,chó,kaomoji
(๑･εˇ๑),đỏ mặt,kaomoji
(๑･ω･｡)♡*✲ﾟ*,trái tim,kaomoji
(๑･ิ З (≧◡≦✿),hoa,kaomoji
(๑･ิ-･ิ) (ᴗ_ ᴗ。),khóc,kaomoji
(๑･ิω･ิ)(･ิω･ิ)♡,trái tim,kaomoji
(๑･ิω･ิ)ε ･ิ🌸 ),hoa,kaomoji
(๑･ิᗜ ･ิ),mỉm cười,kaomoji
(๑･ิᗜ ･ิ)🍵📖📖 📓      ˵••˵,đỏ mặt,kaomoji
(๑･ิᗜ･ิ),mỉm cười,kaomoji
(๑･ิᗜ･ิ)(≧◡≦✿)   (ᴗ_ ᴗ。),hoa,kaomoji
(๑･ิᴗ･ิ)ᕦ(ᵔωᵔᕦ),mỉm cười,kaomoji
(๑･ิᴗ･ิ)ᕦ(･ิω･ิᕦ),mỉm cười,kaomoji
(๑･ิᴗ･ิ)ᕦ(･ิᴗ･ิᕦ),ôm,kaomoji
(๑･ิ⌣･ิ)ε ･ิ🌸 ),hoa,kaomoji
(๑･ิ◡･ิ)ε ･ิ🌸 ),hoa,kaomoji
(๑･ิ㉨･ิ),con gấu,kaomoji
(๑･ᴗ･)¸.•♥,trái tim,kaomoji
(๑･ᴗ･)¸.•♥•,trái tim,kaomoji
(๑･ᴗ･)¸.•♥•.¸,trái tim,kaomoji
(๑･ᴗ･)¸.•♥•.¸p[ＤЁАЯ]q･ω･o),trái tim,kaomoji
(๑･▱･๑),đỏ mặt,kaomoji
(๑･◡･)¸.•♡,trái tim,kaomoji
(๑･◡･)¸.•♥,trái tim,kaomoji
(๑￫‿￩๑),đỏ mặt,kaomoji
(๑￫ヮ￩),hào hứng,kaomoji
(๑￫ヮ￩)♡,trái tim,kaomoji
(๑￫ヮ￩)♥,trái tim,kaomoji
(๑💗ᗜ💗),trái tim,kaomoji
(๛ ˘ ³˘)(･U･)♡,trái tim,kaomoji
(๛ ˘ ³˘)(･U･)♡Lᵒᵛᵉᵧₒᵤ,trái tim,kaomoji
(๛ ˘ ³˘)۶,hôn,kaomoji
(๛ ˘ ³˘)♡,trái tim,kaomoji
(๛ ˘ ³˘)ヾ(ﾟ∀ﾟ○)ﾂ,đang chạy,kaomoji
(ຈʖ̯ຈ),sự tức giận,kaomoji
(ຈل͜ຈ)︻̷┻̿═━≈,súng,kaomoji
(ຈل͜ຈ)︻̷┻̿═━≈♥,súng,kaomoji
(ຈل͜ຈ)︻̷┻̿═━≈ヽ(゜ ～゜o)ノ,súng,kaomoji
(ຈ▽ຈ),mỉm cười,kaomoji
(ຈ▽ຈ)❤,trái tim,kaomoji
(໒ ●ᴥ●),chó,kaomoji
(༎ຶ  ෴  ༎ຶ),ria,kaomoji
(༎ຶ _｣ ༎ຶ ),buồn,kaomoji
(༎ຶ ෴ ༎ຶ ),ria,kaomoji
(༎ຶ ෴ ༎ຶ),ria,kaomoji
"(༎ຶ ෴ ༎ຶ)""",ria,kaomoji
(༎ຶo༎ຶ ),ngạc nhiên,kaomoji
(༎ຶ۝༎ຶ),khóc,kaomoji
(༎ຶᆺ༎ຶ),buồn,kaomoji
(༎ຶ⌑ ༎ຶ),khóc,kaomoji
(༎ຶ⌑༎ຶ ),khóc,kaomoji
(༎ຶꈊ༎ຶ ╬),khó chịu,kaomoji
(༎ຶꈊ༎ຶ╬ ),khó chịu,kaomoji
(༎ຶꈊ༎ຶ╬),khó chịu,kaomoji
(༎ຶ︿༎ຶ),buồn,kaomoji
(༎ຶ￢༎ຶ),khóc,kaomoji
(༘ ꒪ั̅ᴗ꒪ั̅ )༘≺ ̎৴〻৲♡,trái tim,kaomoji
(ཀ.ཀ),buồn,kaomoji
(ཀoཀ)੭,thiên thần,kaomoji
(ཀДཀ)━☆ﾟ.*･｡ﾟ,đũa,kaomoji
(ཀѽཀ)━☆ﾟ.*･｡ﾟ,đũa,kaomoji
(ཀ෴ཀ),ria,kaomoji
(ཀᗜཀ),mỉm cười,kaomoji
(ཀᗜཀ)━☆ﾟ.*･｡ﾟ,đũa,kaomoji
(ཀᗜཀ)╭∩╮,ngón giữa,kaomoji
(ཀᗜཀ●),mỉm cười,kaomoji
(ཀᴥཀ),koala,kaomoji
(ཀ╭╮ཀ),buồn,kaomoji
(ཀ╭╮ཀ)( ˃̣̣̥n˂̣̣̥ ),buồn,kaomoji
(ཀ◡ཀ),mỉm cười,kaomoji
(ཀヮཀ),mỉm cười,kaomoji
(ཀ益ཀ)╭∩╮,ngón giữa,kaomoji
(ლ ۞ิ  ჴ ۞ิ)ლ,hôn,kaomoji
(ლ˛̼ლ)(•́ｪ•̀U),buồn,kaomoji
(ლ˛ლ)(•́ｪ•̀U),buồn,kaomoji
(ლ‸ლ)(•́ ‸ •̀U),chó,kaomoji
(ლ‸ლ)(•́ω •̀U),chó,kaomoji
(ლ‸ლ)(•́ω•̀U),chó,kaomoji
(ლ‸ლ)(•́ｪ•̀U),chó,kaomoji
(ლꔸლ)(•́ｪ•̀U),chó,kaomoji
(ლ︿ლ)(•́ｪ•̀U),buồn,kaomoji
(ლ﹏ლ)(•́ｪ•̀U),buồn,kaomoji
(ღ ･ิ◡･ิ) ε ･ิ ღ),mỉm cười,kaomoji
(ღ ･ิ◡･ิ)ε ･ิ ღ),hôn,kaomoji
(ღˇᴗˇ)｡o,mỉm cười,kaomoji
(ღˇ◡ˇ) ♥ℒᵒᵛᵉᵧₒᵤ♥,trái tim,kaomoji
(ღˇ◡ˇ)(ŐωŐ人),mỉm cười,kaomoji
(ღˇ◡ˇ)(ˇωˇ人),mỉm cười,kaomoji
(ღˇ◡ˇ)(ˇωˇ人)♡,trái tim,kaomoji
(ღˇ◡ˇ)(•́//U//•̀●),đỏ mặt,kaomoji
(ღˇ◡ˇ)(╹U╹),mỉm cười,kaomoji
(ღˇ◡ˇ)(╹U╹❁),hoa,kaomoji
(ღˇ◡ˇ))♡,trái tim,kaomoji
(ღˇ◡ˇ)/(ﾉ´ з `)ノ  ฅ^•ﻌ•^ฅ,con mèo,kaomoji
(ღˇ◡ˇ)/(ﾉ´ з `)ノ  ﾍ(ﾟ∀ﾟ*)ﾉ,hôn,kaomoji
(ღˇ◡ˇ)/(ﾉ´ з `)ノ～♥♡  ฅ^•ﻌ•^ฅ,con mèo,kaomoji
(ღˇ◡ˇ)/～♥,trái tim,kaomoji
(ღˇ◡ˇ)/～♥♡  ฅ^•ﻌ•^ฅ,con mèo,kaomoji
(ღˇ◡ˇ)/～♥♡(≖(´༎ຶ ͜ʖ ༎ຶ `),trái tim,kaomoji
(ღˇ◡ˇ)ℒᵒᵛᵉᵧₒᵤ,mỉm cười,kaomoji
(ღˇ◡ˇ)ℒᵒᵛᵉᵧₒᵤ(•́ U •̀๑),mỉm cười,kaomoji
(ღˇ◡ˇ)♡,trái tim,kaomoji
(ღˇ◡ˇ)♡(•͈⌔•͈๑),đỏ mặt,kaomoji
(ღˇ◡ˇ)♡💌,trái tim,kaomoji
(ღˇ◡ˇ)♥ℒᵒᵛᵉᵧₒᵤ(╹U╹❁),hoa,kaomoji
(ღˇ◡ˇ)♥ℒᵒᵛᵉᵧₒᵤ♥,trái tim,kaomoji
(ღˇ◡ˇ)ヽ(⪰ᗜ⪯)ﾉ,hào hứng,kaomoji
(ღˇ◡ˇ)💌,mỉm cười,kaomoji
(ღ˘ ⌣˘ღ),mỉm cười,kaomoji
(ღ˘⌣˘)♥ ℒ♡ⓥℯ ㄚ♡ⓤ,trái tim,kaomoji
(ღ˘⌣˘ღ ),mỉm cười,kaomoji
(ღ˘⌣˘ღ),hôn,kaomoji
(ღ˘⌣˘ღ) ♫･*:.｡.  .｡.:*･,lấp lánh,western
(ღ˘⌣˘ღ) ♫･*:.｡. .｡.:*･,lấp lánh,western
(ღ˘◡˘ღ),mỉm cười,kaomoji
(ღ≧◠‿◠≦ღ) ☼ ☼,mỉm cười,kaomoji
(ღゝ◡╹)ノ♡,trái tim,kaomoji
(ღ꒡ ᵌ꒡)(￫ε￩*)ﾟ,hôn,kaomoji
(ღ꒡ ᵌ꒡)(￫ε￩*)ﾟʚ(╹.╹)ɞ,thiên thần,kaomoji
(ღ꒡ ᵌ꒡)⋆﹡♡,trái tim,kaomoji
(ღ꒡ ᵌ꒡)⋆﹡♡⃛*,trái tim,kaomoji
(ღ꒡ ᵌ꒡)⋆﹡♡⃛*⁎(꒡ᵋ ꒡ღ),trái tim,kaomoji
(ღ꒡ ᵌ꒡)⋆﹡♡⃛*⁎⋆(꒡ᵋ ꒡ღ),trái tim,kaomoji
(ᅌ ˇ ᅌ✿),hoa,kaomoji
(ᅌ//U//ᅌ✿),hoa,kaomoji
(ᅌ//ᴗ//ᅌ✿),hoa,kaomoji
(ᅌUᅌ)†💖,trái tim,kaomoji
(ᅌUᅌ)†💖(･ω･*)з,trái tim,kaomoji
(ᅌUᅌ)†💖(･ω･*)з),trái tim,kaomoji
(ᅌʊᅌ✿),hoa,kaomoji
(ᅌᴗᅌ* ),mỉm cười,kaomoji
(ᅌᴗᅌ✿),hoa,kaomoji
(ᆺ_ᆺ✿),hoa,kaomoji
(ᇂ∀ᇂ╬),sự tức giận,kaomoji
(ᇴᴥᇴ❁),chó,kaomoji
(ᇴ‿ฺᇴ),mỉm cười,kaomoji
(ᇴ‿ฺᇴ)(◡ᴥ◡❁),chó,kaomoji
(ዕ дዕ)b,ngón tay cái_up,kaomoji
(ዕ//▽//ዕ),đỏ mặt,kaomoji
(ዕ◡ዕ),mỉm cười,kaomoji
(ዕ◡ዕ✿),hoa,kaomoji
(ᐖ✿ ),hoa,kaomoji
(ᑊ n ᑊ ),buồn,kaomoji
(ᑊᘩᑊ   ),buồn,kaomoji
(ᑊᘩᑊ  ),buồn,kaomoji
(ᓀᆽᓂ๑)∫,con mèo,kaomoji
(ᓀᆽᓂ๑)∫/ᐠ●ᆽ●≈ᐟ \,con mèo,kaomoji
(ᓀ‸ᓂ)ノ゛,salute_wave,kaomoji
(ᕥ0ヮ0)ᕥʕᵔﻌᵔ๑ʔ,con gấu,kaomoji
(ᕥoヮo)ᕥʕᵔﻌᵔʔ,con gấu,kaomoji
(ᕥᵔヮᵔ)ᕥʕᵔﻌᵔoʔ,con gấu,kaomoji
(ᕥᵔヮᵔ)ᕥʕᵔﻌᵔ๑ʔ,con gấu,kaomoji
(ᕥ•ヮ•)ᕥʕoﻌo๑ʔ,con gấu,kaomoji
(ᕥ•ヮ•)ᕥʕ•ᴥ•๑ʔ,con gấu,kaomoji
(ᕥ•ヮ•)ᕥʕ•ﻌ•๑ʔ,con gấu,kaomoji
(ᕥ•ヮ•)ᕥʕ●ᴥ●๑ʔ,con gấu,kaomoji
(ᕥ●ᴥ●)ᕥʕ●ᴥ●๑ʔ,con gấu,kaomoji
(ᕥ●ヮ●)ᕥʕ●ᴥ●๑ʔ,con gấu,kaomoji
(ᕥ●ﻌ●)ᕥʕ●ᴥ●๑ʔ,chó,kaomoji
(ᕥ●ﻌ●)ᕥʕ●ﻌ●๑ʔ,chó,kaomoji
(ᕥꔸᗜꔸ)ᕥ(˵ᵕ∀ᵕ˵),đỏ mặt,kaomoji
(ᕥꔸᗜꔸ)ᕥ(˵ᵕ∀ᵕ˵✿),hoa,kaomoji
(ᕥꔸᗜꔸ)ᕥ(ᵕ∀ᵕ˵✿),hoa,kaomoji
(ᕥꔸᗜꔸ)ᕥ(✿˵ᵕ∀ᵕ˵),hoa,kaomoji
(ᕥꔸᗜꔸ)ᕥ✽,hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ(◡ ‿ ◡ ✿),hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ(◡‿ ◡ ✿),hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ(◡‿◡ ✿),hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ(◡‿◡❁),hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ✽,hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ✿,hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ❁,hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ❤️,trái tim,kaomoji
(ᕥꔸᴗꔸ)ᕥ🌷,hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍉,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍌,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍑,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍦,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍧,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍨,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍫,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🍰,sinh nhật,kaomoji
(ᕥꔸᴗꔸ)ᕥ💐,hoa,kaomoji
(ᕥꔸᴗꔸ)ᕥ🥝,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🥧,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🥭,đồ ăn,kaomoji
(ᕥꔸᴗꔸ)ᕥ🧁,đồ ăn,kaomoji
